"Region Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
CAL,"5/26/2021 3 a.m. PDT",3555,20,1062,671,88,8962,632,2279
CAL,"5/26/2021 4 a.m. PDT",3615,18,1180,636,88,8947,614,2277
CAL,"5/26/2021 5 a.m. PDT",3375,16,1468,775,89,9548,612,2278
CAL,"5/26/2021 6 a.m. PDT",3036,204,2298,737,88,9632,612,2277
CAL,"5/26/2021 7 a.m. PDT",2643,2927,2064,687,87,9777,693,2278
CAL,"5/26/2021 8 a.m. PDT",2165,7705,1569,744,87,8584,698,2280
CAL,"5/26/2021 9 a.m. PDT",1444,11005,1137,683,88,7458,655,2279
CAL,"5/26/2021 10 a.m. PDT",1095,12210,791,607,88,7155,638,2278
CAL,"5/26/2021 11 a.m. PDT",1015,12713,875,606,87,7321,630,2280
CAL,"5/26/2021 12 p.m. PDT",977,13104,845,616,88,7512,623,2279
CAL,"5/26/2021 1 p.m. PDT",1225,13104,1141,611,87,7477,623,2278
CAL,"5/26/2021 2 p.m. PDT",1581,12991,1569,845,88,7328,624,2277
CAL,"5/26/2021 3 p.m. PDT",2377,12911,1743,580,87,7633,632,2277
CAL,"5/26/2021 4 p.m. PDT",2799,12413,1844,585,87,8963,638,2278
CAL,"5/26/2021 5 p.m. PDT",3404,11579,2246,703,87,9292,655,2276
CAL,"5/26/2021 6 p.m. PDT",3751,8917,2763,622,87,10065,709,2277
CAL,"5/26/2021 7 p.m. PDT",4065,2846,4152,687,87,12833,803,2278
CAL,"5/26/2021 8 p.m. PDT",4326,2378,4256,717,88,13923,1017,2278
CAL,"5/26/2021 9 p.m. PDT",4560,15,3964,699,87,13239,1061,2279
CAL,"5/26/2021 10 p.m. PDT",4503,18,3189,667,88,12720,970,2277
CAL,"5/26/2021 11 p.m. PDT",4468,19,2394,729,88,11388,900,2279
CAL,"5/27/2021 12 a.m. PDT",4810,19,1636,776,88,10106,860,2275
CAL,"5/27/2021 1 a.m. PDT",4935,19,1349,732,87,8662,778,2266
CAL,"5/27/2021 2 a.m. PDT",4834,20,1272,641,87,8053,701,2111
CAL,"5/27/2021 3 a.m. PDT",4929,18,1304,660,89,7628,653,1943
CAL,"5/27/2021 4 a.m. PDT",4610,18,761,668,88,8771,626,1777
CAL,"5/27/2021 5 a.m. PDT",4567,16,1078,706,88,9268,620,1658
CAL,"5/27/2021 6 a.m. PDT",4525,602,1886,748,87,9118,618,1606
CAL,"5/27/2021 7 a.m. PDT",4269,5766,1095,740,88,8177,617,1607
CAL,"5/27/2021 8 a.m. PDT",3709,10687,274,685,87,7520,615,1609
CAL,"5/27/2021 9 a.m. PDT",3618,12592,152,602,88,6942,611,1611
CAL,"5/27/2021 10 a.m. PDT",3109,13562,249,598,87,6607,611,1611
CAL,"5/27/2021 11 a.m. PDT",2360,14068,298,584,88,6603,601,1612
CAL,"5/27/2021 12 p.m. PDT",1992,14201,329,586,87,6412,596,1615
CAL,"5/27/2021 1 p.m. PDT",2329,14213,339,592,88,7031,596,1617
CAL,"5/27/2021 2 p.m. PDT",2936,14118,445,605,87,6880,605,1615
CAL,"5/27/2021 3 p.m. PDT",3600,13829,826,586,87,6953,606,1611
CAL,"5/27/2021 4 p.m. PDT",4414,13082,972,599,88,7261,615,1612
CAL,"5/27/2021 5 p.m. PDT",4974,11985,1683,694,88,8401,636,1613
CAL,"5/27/2021 6 p.m. PDT",5087,8959,1994,623,88,9225,657,1613
CAL,"5/27/2021 7 p.m. PDT",5312,2812,3005,798,88,11466,723,1611
