Datetime,Solar generation (MWh)
08/6/2018 00H,9204
08/6/2018 01H,6608
08/6/2018 02H,1735
08/6/2018 03H,1416
08/6/2018 04H,4
08/6/2018 05H,6
08/6/2018 06H,6
08/6/2018 07H,6
08/6/2018 08H,5
08/6/2018 09H,5
08/6/2018 10H,4
08/6/2018 11H,4
08/6/2018 12H,4
08/6/2018 13H,4
08/6/2018 14H,2022
08/6/2018 15H,6743
08/6/2018 16H,9427
08/6/2018 17H,10526
08/6/2018 18H,11100
08/6/2018 19H,11330
08/6/2018 20H,11316
08/6/2018 21H,11221
08/6/2018 22H,10896
08/6/2018 23H,10194
08/7/2018 00H,8773
08/7/2018 01H,5832
08/7/2018 02H,1354
08/7/2018 03H,1081
08/7/2018 04H,7
08/7/2018 05H,7
08/7/2018 06H,6
08/7/2018 07H,5
08/7/2018 08H,4
08/7/2018 09H,4
08/7/2018 10H,3
08/7/2018 11H,4
08/7/2018 12H,3
08/7/2018 13H,3
08/7/2018 14H,1607
08/7/2018 15H,5649
08/7/2018 16H,8544
08/7/2018 17H,9934
08/7/2018 18H,10803
08/7/2018 19H,11119
08/7/2018 20H,11134
08/7/2018 21H,10995
08/7/2018 22H,10599
08/7/2018 23H,9772
08/8/2018 00H,8355
08/8/2018 01H,5273
08/8/2018 02H,1176
08/8/2018 03H,938
08/8/2018 04H,5
08/8/2018 05H,6
08/8/2018 06H,5
08/8/2018 07H,5
08/8/2018 08H,4
08/8/2018 09H,4
08/8/2018 10H,4
08/8/2018 11H,3
08/8/2018 12H,4
08/8/2018 13H,3
08/8/2018 14H,1687
08/8/2018 15H,5678
08/8/2018 16H,8520
08/8/2018 17H,10026
08/8/2018 18H,10700
08/8/2018 19H,11190
08/8/2018 20H,11092
08/8/2018 21H,10776
08/8/2018 22H,9718
08/8/2018 23H,8856
08/9/2018 00H,7525
08/9/2018 01H,4841
08/9/2018 02H,1109
08/9/2018 03H,864
08/9/2018 04H,7
08/9/2018 05H,7
08/9/2018 06H,7
08/9/2018 07H,6
08/9/2018 08H,5
08/9/2018 09H,5
08/9/2018 10H,4
08/9/2018 11H,4
08/9/2018 12H,4
08/9/2018 13H,5
08/9/2018 14H,1157
08/9/2018 15H,4401
08/9/2018 16H,7771
08/9/2018 17H,9133
08/9/2018 18H,9804
08/9/2018 19H,10040
08/9/2018 20H,9871
08/9/2018 21H,9945
08/9/2018 22H,9488
08/9/2018 23H,8354
08/10/2018 00H,6644
08/10/2018 01H,3652
08/10/2018 02H,759
08/10/2018 03H,590
08/10/2018 04H,5
08/10/2018 05H,5
08/10/2018 06H,5
08/10/2018 07H,5
08/10/2018 08H,5
08/10/2018 09H,4
08/10/2018 10H,4
08/10/2018 11H,4
08/10/2018 12H,4
08/10/2018 13H,4
08/10/2018 14H,1065
08/10/2018 15H,4364
08/10/2018 16H,6844
08/10/2018 17H,7489
08/10/2018 18H,8592
08/10/2018 19H,10251
08/10/2018 20H,10262
08/10/2018 21H,10417
08/10/2018 22H,10125
08/10/2018 23H,9126
08/11/2018 00H,7434
08/11/2018 01H,4358
08/11/2018 02H,1004
08/11/2018 03H,778
08/11/2018 04H,7
08/11/2018 05H,7
08/11/2018 06H,6
08/11/2018 07H,6
08/11/2018 08H,6
08/11/2018 09H,6
08/11/2018 10H,5
08/11/2018 11H,5
08/11/2018 12H,5
08/11/2018 13H,5
08/11/2018 14H,1018
08/11/2018 15H,3832
08/11/2018 16H,6703
08/11/2018 17H,8441
08/11/2018 18H,9206
08/11/2018 19H,10110
08/11/2018 20H,10314
08/11/2018 21H,10468
08/11/2018 22H,9918
08/11/2018 23H,9254
08/12/2018 00H,7674
08/12/2018 01H,4542
08/12/2018 02H,871
08/12/2018 03H,640
08/12/2018 04H,6
08/12/2018 05H,6
08/12/2018 06H,6
08/12/2018 07H,6
08/12/2018 08H,5
08/12/2018 09H,5
08/12/2018 10H,4
08/12/2018 11H,5
08/12/2018 12H,5
08/12/2018 13H,5
08/12/2018 14H,1250
08/12/2018 15H,4730
08/12/2018 16H,7073
08/12/2018 17H,8778
08/12/2018 18H,9691
08/12/2018 19H,9916
08/12/2018 20H,10087
08/12/2018 21H,10411
08/12/2018 22H,9554
08/12/2018 23H,8815
08/13/2018 00H,7454
08/13/2018 01H,4479
08/13/2018 02H,894
08/13/2018 03H,663
08/13/2018 04H,5
08/13/2018 05H,5
08/13/2018 06H,5
08/13/2018 07H,5
08/13/2018 08H,4
08/13/2018 09H,4
08/13/2018 10H,3
08/13/2018 11H,3
08/13/2018 12H,4
08/13/2018 13H,3
08/13/2018 14H,1415
08/13/2018 15H,5622
08/13/2018 16H,8663
08/13/2018 17H,10090
08/13/2018 18H,10285
08/13/2018 19H,10185
08/13/2018 20H,11007
08/13/2018 21H,10465
08/13/2018 22H,10481
08/13/2018 23H,9879
08/14/2018 00H,8500
08/14/2018 01H,5287
08/14/2018 02H,1082
08/14/2018 03H,793
08/14/2018 04H,6
08/14/2018 05H,6
08/14/2018 06H,5
08/14/2018 07H,4
08/14/2018 08H,4
08/14/2018 09H,3
08/14/2018 10H,3
08/14/2018 11H,3
08/14/2018 12H,3
08/14/2018 13H,3
08/14/2018 14H,1535
08/14/2018 15H,5851
08/14/2018 16H,8868
08/14/2018 17H,10121
08/14/2018 18H,10828
08/14/2018 19H,11049
08/14/2018 20H,10429
08/14/2018 21H,10270
08/14/2018 22H,10028
08/14/2018 23H,9081
08/15/2018 00H,8234
08/15/2018 01H,5212
08/15/2018 02H,980
08/15/2018 03H,777
08/15/2018 04H,11
08/15/2018 05H,11
08/15/2018 06H,10
08/15/2018 07H,9
08/15/2018 08H,8
08/15/2018 09H,10
08/15/2018 10H,8
08/15/2018 11H,8
08/15/2018 12H,9
08/15/2018 13H,7
08/15/2018 14H,1437
08/15/2018 15H,5436
08/15/2018 16H,8697
08/15/2018 17H,9934
08/15/2018 18H,10279
08/15/2018 19H,11211
08/15/2018 20H,10264
08/15/2018 21H,9531
08/15/2018 22H,8988
08/15/2018 23H,8105
08/16/2018 00H,7000
08/16/2018 01H,4883
08/16/2018 02H,1063
08/16/2018 03H,807
08/16/2018 04H,19
08/16/2018 05H,17
08/16/2018 06H,18
08/16/2018 07H,17
08/16/2018 08H,17
08/16/2018 09H,17
08/16/2018 10H,16
08/16/2018 11H,18
08/16/2018 12H,16
08/16/2018 13H,17
08/16/2018 14H,1506
08/16/2018 15H,5695
08/16/2018 16H,8953
08/16/2018 17H,10146
08/16/2018 18H,10861
08/16/2018 19H,10304
08/16/2018 20H,10060
08/16/2018 21H,9728
08/16/2018 22H,8864
08/16/2018 23H,7559
08/17/2018 00H,6763
08/17/2018 01H,3953
08/17/2018 02H,771
08/17/2018 03H,545
08/17/2018 04H,19
08/17/2018 05H,20
08/17/2018 06H,19
